Index,Age,BusinessTravel,Department,DistanceFromHome,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,YearsAtCompany
1,41,Travel_Rarely,Sales,1,Life Sciences,Female,Sales Executive,4,Single,5993,Yes,8,6
2,49,Travel_Frequently,Research & Development,8,Life Sciences,Male,Research Scientist,2,Married,5130,No,10,10
3,37,Travel_Rarely,Research & Development,2,Other,Male,Laboratory Technician,3,Single,2090,Yes,7,0
4,33,Travel_Frequently,Research & Development,3,Life Sciences,Female,Research Scientist,3,Married,2909,Yes,8,8
5,27,Travel_Rarely,Research & Development,2,Medical,Male,Laboratory Technician,2,Married,3468,No,6,2
6,32,Travel_Frequently,Research & Development,2,Life Sciences,Male,Laboratory Technician,4,Single,3068,No,8,7
7,59,Travel_Rarely,Research & Development,3,Medical,Female,Laboratory Technician,1,Married,2670,Yes,12,1
8,30,Travel_Rarely,Research & Development,24,Life Sciences,Male,Laboratory Technician,3,Divorced,2693,No,1,1
9,38,Travel_Frequently,Research & Development,23,Life Sciences,Male,Manufacturing Director,3,Single,9526,No,10,9
10,36,Travel_Rarely,Research & Development,27,Medical,Male,Healthcare Representative,3,Married,5237,No,17,7
11,35,Travel_Rarely,Research & Development,16,Medical,Male,Laboratory Technician,2,Married,2426,No,6,5
12,29,Travel_Rarely,Research & Development,15,Life Sciences,Female,Laboratory Technician,3,Single,4193,Yes,10,9
13,31,Travel_Rarely,Research & Development,26,Life Sciences,Male,Research Scientist,3,Divorced,2911,No,5,5
14,34,Travel_Rarely,Research & Development,19,Medical,Male,Laboratory Technician,4,Divorced,2661,No,3,2
15,28,Travel_Rarely,Research & Development,24,Life Sciences,Male,Laboratory Technician,3,Single,2028,Yes,6,4
16,29,Travel_Rarely,Research & Development,21,Life Sciences,Female,Manufacturing Director,1,Divorced,9980,No,10,10
17,32,Travel_Rarely,Research & Development,5,Life Sciences,Male,Research Scientist,2,Divorced,3298,Yes,7,6
18,22,Non-Travel,Research & Development,16,Medical,Male,Laboratory Technician,4,Divorced,2935,Yes,1,1
19,53,Travel_Rarely,Sales,2,Life Sciences,Female,Manager,4,Married,15427,No,31,25
20,38,Travel_Rarely,Research & Development,2,Life Sciences,Male,Research Scientist,4,Single,3944,Yes,6,3
21,24,Non-Travel,Research & Development,11,Other,Female,Manufacturing Director,3,Divorced,4011,No,5,4
22,36,Travel_Rarely,Sales,9,Life Sciences,Male,Sales Representative,1,Single,3407,No,10,5
23,34,Travel_Rarely,Research & Development,7,Life Sciences,Female,Research Director,2,Single,11994,No,13,12
24,21,Travel_Rarely,Research & Development,15,Life Sciences,Male,Research Scientist,4,Single,1232,No,0,0
25,34,Travel_Rarely,Research & Development,6,Medical,Male,Research Scientist,1,Single,2960,No,8,4
26,53,Travel_Rarely,Research & Development,5,Other,Female,Manager,3,Divorced,19094,No,26,14
27,32,Travel_Frequently,Research & Development,16,Life Sciences,Female,Research Scientist,1,Single,3919,Yes,10,10
28,42,Travel_Rarely,Sales,8,Marketing,Male,Sales Executive,2,Married,6825,No,10,9
29,44,Travel_Rarely,Research & Development,7,Medical,Female,Healthcare Representative,4,Married,10248,No,24,22
30,46,Travel_Rarely,Sales,2,Marketing,Female,Manager,1,Single,18947,No,22,2
31,33,Travel_Rarely,Research & Development,2,Medical,Male,Laboratory Technician,4,Single,2496,No,7,1
32,44,Travel_Rarely,Research & Development,10,Other,Male,Healthcare Representative,4,Married,6465,Yes,9,4
33,30,Travel_Rarely,Research & Development,9,Medical,Male,Laboratory Technician,3,Single,2206,No,10,10
34,39,Travel_Rarely,Sales,5,Technical Degree,Male,Sales Representative,4,Married,2086,No,19,1
35,24,Travel_Rarely,Research & Development,1,Medical,Male,Research Scientist,4,Married,2293,Yes,6,2
36,43,Travel_Rarely,Research & Development,2,Medical,Female,Research Scientist,3,Divorced,2645,No,6,5
37,50,Travel_Rarely,Sales,3,Marketing,Male,Sales Representative,3,Married,2683,Yes,3,3
38,35,Travel_Rarely,Sales,2,Marketing,Female,Sales Representative,4,Married,2014,No,2,2
39,36,Travel_Rarely,Research & Development,5,Life Sciences,Female,Research Scientist,1,Married,3419,Yes,6,1
40,33,Travel_Frequently,Sales,1,Life Sciences,Female,Sales Executive,1,Married,5376,No,10,5
41,35,Travel_Rarely,Research & Development,4,Other,Male,Laboratory Technician,4,Divorced,1951,No,1,1
42,27,Travel_Rarely,Research & Development,2,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,No,1,1
